run_name,exact_mip,baseline_greedy,baseline_beam,baseline_random,best_model,best_objective_score
run_0355,29.65,29.65,29.65,29.65,exact_mip,29.65
run_0356,70.11,72.47,70.74,70.11,exact_mip,70.11
run_0357,55.59,55.59,55.59,55.59,exact_mip,55.59
run_0358,39.24,41.72,39.24,39.24,exact_mip,39.24
run_0359,51.4,53.34,53.2,51.4,exact_mip,51.4
run_0360,71.12,71.4,71.26,71.12,exact_mip,71.12
run_0361,67.83,69.0,68.18,67.83,exact_mip,67.83
run_0362,61.6,61.6,61.6,61.6,exact_mip,61.6
run_0363,44.11,45.63,44.11,44.11,exact_mip,44.11
run_0364,63.85,63.85,63.85,63.85,exact_mip,63.85
run_0365,45.88,48.660000000000004,48.660000000000004,45.88,exact_mip,45.88
run_0366,19.84,19.84,19.84,19.84,exact_mip,19.84
run_0367,44.32,45.98,44.32,44.32,exact_mip,44.32
run_0368,54.78,56.766666666666666,54.96666666666667,54.78,exact_mip,54.78
run_0369,65.47,66.57,65.47,65.47,exact_mip,65.47
run_0370,25.09,25.09,25.09,25.09,exact_mip,25.09
run_0371,43.73,43.73,43.73,43.73,exact_mip,43.73
run_0372,28.34,28.34,28.34,28.34,exact_mip,28.34
run_0373,51.71,53.44,51.71,51.71,exact_mip,51.71
run_0374,19.84,19.84,19.84,19.84,exact_mip,19.84
run_0375,34.9,34.9,34.9,34.9,exact_mip,34.9
run_0376,79.65,80.7,80.7,79.65,exact_mip,79.65
run_0377,85.83,88.59,86.11,85.83,exact_mip,85.83
run_0378,58.95,60.68,58.95,58.95,exact_mip,58.95
run_0379,82.97,83.32,83.18,82.97,exact_mip,82.97
run_0380,75.4,79.77,77.83,75.4,exact_mip,75.4
run_0381,73.18,77.08,77.08,73.18,exact_mip,73.18
run_0382,104.59666666666666,107.23666666666666,107.23666666666666,104.85333333333334,exact_mip,104.59666666666666
run_0383,70.34,71.04,70.62,70.34,exact_mip,70.34
run_0384,62.97,65.87,64.21,62.97,exact_mip,62.97
run_0385,55.26,58.72,56.99,55.26,exact_mip,55.26
run_0386,40.7,42.64,40.7,40.7,exact_mip,40.7
run_0387,63.95,65.89,63.95,63.95,exact_mip,63.95
run_0388,48.98,48.98,48.98,48.98,exact_mip,48.98
run_0389,44.48,44.48,44.48,44.48,exact_mip,44.48
run_0390,71.64,73.44,71.71,71.64,exact_mip,71.64
run_0391,72.31,77.5,76.26,72.31,exact_mip,72.31
run_0392,47.85,47.85,47.85,47.85,exact_mip,47.85
run_0393,67.16,67.37,67.16,67.16,exact_mip,67.16
run_0394,90.17666666666666,91.11333333333333,90.17666666666666,90.17666666666666,exact_mip,90.17666666666666
run_0395,43.5,44.78666666666667,43.5,43.5,exact_mip,43.5
run_0396,88.59,90.39,88.66,88.59,exact_mip,88.59
run_0397,48.65,48.65,48.65,48.65,exact_mip,48.65
run_0398,79.14,81.22,79.28,79.14,exact_mip,79.14
run_0399,45.4,45.4,45.4,45.4,exact_mip,45.4
run_0400,73.53,76.1,74.37,73.53,exact_mip,73.53
run_0401,55.22,56.81,55.36,55.22,exact_mip,55.22
run_0402,95.06,96.16,95.06,95.06,exact_mip,95.06
run_0403,29.34,29.34,29.34,29.34,exact_mip,29.34
run_0404,52.47,52.82,52.68,52.47,exact_mip,52.47
